trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,False,"{'a': 0.04, 'e': 0.30733286997841935}",20,13,3.8057008502492957,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.04, 'e': 0.26903310311739903}",25,11,25.789592220630503,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.04, 'e': 0.23030294068205867}",25,0,11.489824345834151,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
113,False,"{'a': 0.04, 'e': 0.19120434267030076}",25,10,11.172903981121928,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.04, 'e': 0.1517998584983547}",25,12,23.08588506736357,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.04, 'e': 0.11215252693505398}",20,8,-0.4893752560695932,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
116,False,"{'a': 0.04, 'e': 0.07232577525325448}",25,16,18.730755961070223,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.04, 'e': 0.03238331775972473}",25,0,41.00257328622297,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.04, 'e': 0.007610946134147902}",20,8,24.425948944189944,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,15,17.990419697707292,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
